"Metric","Scale","Shapiro_raw_p","Shapiro_log_p","LMM_F","LMM_p","Type","Mean","CLD"
"ACE","log",1.32e-07,0.0146,3.222,0.0283,"Conventional",5.69963878578403," a "
"ACE","log",1.32e-07,0.0146,3.222,0.0283,"Soil_Health",6.3159571201576," ab"
"ACE","log",1.32e-07,0.0146,3.222,0.0283,"Rotational_Grazing",7.50819539908073,"  b"
"ACE","log",1.32e-07,0.0146,3.222,0.0283,"New_CRP",5.94672708634599," ab"
"ACE","log",1.32e-07,0.0146,3.222,0.0283,"Old_CRP",6.12351942458039," ab"
"POXC","log",0.000153,0.00336,4.689,0.00555,"Conventional",601.189287335697," ab"
"POXC","log",0.000153,0.00336,4.689,0.00555,"Soil_Health",662.215557464707," ab"
"POXC","log",0.000153,0.00336,4.689,0.00555,"Rotational_Grazing",752.92971064274,"  b"
"POXC","log",0.000153,0.00336,4.689,0.00555,"New_CRP",602.84905786464," ab"
"POXC","log",0.000153,0.00336,4.689,0.00555,"Old_CRP",541.670981502637," a "
"PMC","log",2.36e-11,8.1e-06,21.284,6.97e-08,"Conventional",99.333833801455," a  "
"PMC","log",2.36e-11,8.1e-06,21.284,6.97e-08,"Soil_Health",123.21089053009," ab "
"PMC","log",2.36e-11,8.1e-06,21.284,6.97e-08,"Rotational_Grazing",243.574094601441,"   c"
"PMC","log",2.36e-11,8.1e-06,21.284,6.97e-08,"New_CRP",153.378589057789,"  b "
"PMC","log",2.36e-11,8.1e-06,21.284,6.97e-08,"Old_CRP",148.812915241916,"  b "
"Aggregate_Stability","raw",1.77e-06,2.55e-10,6.367,0.00103,"Conventional",66.0065992872215,"a"
"Aggregate_Stability","raw",1.77e-06,2.55e-10,6.367,0.00103,"Soil_Health",78.8166466616667,"ab"
"Aggregate_Stability","raw",1.77e-06,2.55e-10,6.367,0.00103,"Rotational_Grazing",95.1690352199292,"b"
"Aggregate_Stability","raw",1.77e-06,2.55e-10,6.367,0.00103,"New_CRP",89.0417595322222,"b"
"Aggregate_Stability","raw",1.77e-06,2.55e-10,6.367,0.00103,"Old_CRP",91.8688732533333,"b"
"Bulk_Density","log",0.000153,0.00336,2.933,0.0407,"Conventional",1.08825029390377," a"
"Bulk_Density","log",0.000153,0.00336,2.933,0.0407,"Soil_Health",1.20143745379999," a"
"Bulk_Density","log",0.000153,0.00336,2.933,0.0407,"Rotational_Grazing",1.18406259927445," a"
"Bulk_Density","log",0.000153,0.00336,2.933,0.0407,"New_CRP",1.13750107614295," a"
"Bulk_Density","log",0.000153,0.00336,2.933,0.0407,"Old_CRP",1.1018970237228," a"
